"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"1999"	"1999"	"Non-Hispanic White"	"6"	280	40190	6.97
	"Alabama"	"01"	"1999"	"1999"	"Non-Hispanic Black"	"7"	306	19719	15.52
	"Alabama"	"01"	"2000"	"2000"	"Non-Hispanic White"	"6"	268	40154	6.67
	"Alabama"	"01"	"2000"	"2000"	"Non-Hispanic Black"	"7"	315	20498	15.37
	"Alabama"	"01"	"2001"	"2001"	"Non-Hispanic White"	"6"	259	38342	6.75
	"Alabama"	"01"	"2001"	"2001"	"Non-Hispanic Black"	"7"	283	19183	14.75
	"Alabama"	"01"	"2002"	"2002"	"Non-Hispanic White"	"6"	259	37403	6.92
	"Alabama"	"01"	"2002"	"2002"	"Non-Hispanic Black"	"7"	255	18276	13.95
	"Alaska"	"02"	"1999"	"1999"	"Non-Hispanic White"	"6"	30	6066	4.95
	"Alaska"	"02"	"2000"	"2000"	"Non-Hispanic White"	"6"	32	5770	5.55
	"Alaska"	"02"	"2001"	"2001"	"Non-Hispanic White"	"6"	31	5567	5.57
	"Alaska"	"02"	"2002"	"2002"	"Non-Hispanic White"	"6"	17	4427	3.84 (Unreliable)
	"Arizona"	"04"	"1999"	"1999"	"Non-Hispanic White"	"6"	227	38853	5.84
	"Arizona"	"04"	"1999"	"1999"	"Non-Hispanic Black"	"7"	42	2600	16.15
	"Arizona"	"04"	"2000"	"2000"	"Non-Hispanic White"	"6"	266	39873	6.67
	"Arizona"	"04"	"2000"	"2000"	"Non-Hispanic Black"	"7"	39	2602	14.99
	"Arizona"	"04"	"2001"	"2001"	"Non-Hispanic White"	"6"	249	38878	6.40
	"Arizona"	"04"	"2001"	"2001"	"Non-Hispanic Black"	"7"	47	2560	18.36
	"Arizona"	"04"	"2002"	"2002"	"Non-Hispanic White"	"6"	253	39033	6.48
	"Arizona"	"04"	"2002"	"2002"	"Non-Hispanic Black"	"7"	25	2545	9.82
	"Arkansas"	"05"	"1999"	"1999"	"Non-Hispanic White"	"6"	195	26448	7.37
	"Arkansas"	"05"	"1999"	"1999"	"Non-Hispanic Black"	"7"	87	7666	11.35
	"Arkansas"	"05"	"2000"	"2000"	"Non-Hispanic White"	"6"	198	26657	7.43
	"Arkansas"	"05"	"2000"	"2000"	"Non-Hispanic Black"	"7"	100	7950	12.58
	"Arkansas"	"05"	"2001"	"2001"	"Non-Hispanic White"	"6"	198	26082	7.59
	"Arkansas"	"05"	"2001"	"2001"	"Non-Hispanic Black"	"7"	95	7422	12.80
	"Arkansas"	"05"	"2002"	"2002"	"Non-Hispanic White"	"6"	197	26001	7.58
	"Arkansas"	"05"	"2002"	"2002"	"Non-Hispanic Black"	"7"	97	7415	13.08
	"California"	"06"	"1999"	"1999"	"Non-Hispanic White"	"6"	804	172336	4.67
	"California"	"06"	"1999"	"1999"	"Non-Hispanic Black"	"7"	418	34250	12.20
	"California"	"06"	"2000"	"2000"	"Non-Hispanic White"	"6"	789	171552	4.60
	"California"	"06"	"2000"	"2000"	"Non-Hispanic Black"	"7"	396	33839	11.70
	"California"	"06"	"2001"	"2001"	"Non-Hispanic White"	"6"	795	167028	4.76
	"California"	"06"	"2001"	"2001"	"Non-Hispanic Black"	"7"	352	32554	10.81
	"California"	"06"	"2002"	"2002"	"Non-Hispanic White"	"6"	779	164650	4.73
	"California"	"06"	"2002"	"2002"	"Non-Hispanic Black"	"7"	373	31454	11.86
	"Colorado"	"08"	"1999"	"1999"	"Non-Hispanic White"	"6"	261	40705	6.41
	"Colorado"	"08"	"1999"	"1999"	"Non-Hispanic Black"	"7"	34	2793	12.17
	"Colorado"	"08"	"2000"	"2000"	"Non-Hispanic White"	"6"	230	41822	5.50
	"Colorado"	"08"	"2000"	"2000"	"Non-Hispanic Black"	"7"	47	2902	16.20
	"Colorado"	"08"	"2001"	"2001"	"Non-Hispanic White"	"6"	212	41764	5.08
	"Colorado"	"08"	"2001"	"2001"	"Non-Hispanic Black"	"7"	27	2830	9.54
	"Colorado"	"08"	"2002"	"2002"	"Non-Hispanic White"	"6"	208	41858	4.97
	"Colorado"	"08"	"2002"	"2002"	"Non-Hispanic Black"	"7"	42	2761	15.21
	"Connecticut"	"09"	"1999"	"1999"	"Non-Hispanic White"	"6"	128	28226	4.53
	"Connecticut"	"09"	"1999"	"1999"	"Non-Hispanic Black"	"7"	52	4993	10.41
	"Connecticut"	"09"	"2000"	"2000"	"Non-Hispanic White"	"6"	146	28785	5.07
	"Connecticut"	"09"	"2000"	"2000"	"Non-Hispanic Black"	"7"	68	4946	13.75
	"Connecticut"	"09"	"2001"	"2001"	"Non-Hispanic White"	"6"	126	28434	4.43
	"Connecticut"	"09"	"2001"	"2001"	"Non-Hispanic Black"	"7"	77	4929	15.62
	"Connecticut"	"09"	"2002"	"2002"	"Non-Hispanic White"	"6"	144	27685	5.20
	"Connecticut"	"09"	"2002"	"2002"	"Non-Hispanic Black"	"7"	67	4932	13.58
	"Delaware"	"10"	"1999"	"1999"	"Non-Hispanic White"	"6"	30	6863	4.37
	"Delaware"	"10"	"1999"	"1999"	"Non-Hispanic Black"	"7"	43	2643	16.27
	"Delaware"	"10"	"2000"	"2000"	"Non-Hispanic White"	"6"	53	6999	7.57
	"Delaware"	"10"	"2000"	"2000"	"Non-Hispanic Black"	"7"	35	2606	13.43
	"Delaware"	"10"	"2001"	"2001"	"Non-Hispanic White"	"6"	55	6598	8.34
	"Delaware"	"10"	"2001"	"2001"	"Non-Hispanic Black"	"7"	51	2684	19.00
	"Delaware"	"10"	"2002"	"2002"	"Non-Hispanic White"	"6"	51	6629	7.69
	"Delaware"	"10"	"2002"	"2002"	"Non-Hispanic Black"	"7"	32	2684	11.92
	"District of Columbia"	"11"	"1999"	"1999"	"Non-Hispanic White"	"6"	10	1411	7.09 (Unreliable)
	"District of Columbia"	"11"	"1999"	"1999"	"Non-Hispanic Black"	"7"	100	5116	19.55
	"District of Columbia"	"11"	"2000"	"2000"	"Non-Hispanic Black"	"7"	81	5108	15.86
	"District of Columbia"	"11"	"2001"	"2001"	"Non-Hispanic Black"	"7"	73	4805	15.19
	"District of Columbia"	"11"	"2002"	"2002"	"Non-Hispanic Black"	"7"	67	4563	14.68
	"Florida"	"12"	"1999"	"1999"	"Non-Hispanic White"	"6"	625	106383	5.87
