"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"2007"	"2007"	"Non-Hispanic White"	"6"	327	38508	8.49
	"Alabama"	"01"	"2007"	"2007"	"Non-Hispanic Black"	"7"	276	19734	13.99
	"Alabama"	"01"	"2008"	"2008"	"Non-Hispanic White"	"6"	290	38169	7.60
	"Alabama"	"01"	"2008"	"2008"	"Non-Hispanic Black"	"7"	265	19913	13.31
	"Alabama"	"01"	"2009"	"2009"	"Non-Hispanic White"	"6"	239	36902	6.48
	"Alabama"	"01"	"2009"	"2009"	"Non-Hispanic Black"	"7"	243	19230	12.64
	"Alabama"	"01"	"2010"	"2010"	"Non-Hispanic White"	"6"	246	35819	6.87
	"Alabama"	"01"	"2010"	"2010"	"Non-Hispanic Black"	"7"	241	18203	13.24
	"Alabama"	"01"	"2011"	"2011"	"Non-Hispanic White"	"6"	230	35684	6.45
	"Alabama"	"01"	"2011"	"2011"	"Non-Hispanic Black"	"7"	229	17987	12.73
	"Alabama"	"01"	"2012"	"2012"	"Non-Hispanic White"	"6"	246	35162	7.00
	"Alabama"	"01"	"2012"	"2012"	"Non-Hispanic Black"	"7"	253	18096	13.98
	"Alabama"	"01"	"2013"	"2013"	"Non-Hispanic White"	"6"	257	35086	7.32
	"Alabama"	"01"	"2013"	"2013"	"Non-Hispanic Black"	"7"	215	17906	12.01
	"Alabama"	"01"	"2014"	"2014"	"Non-Hispanic White"	"6"	224	35929	6.23
	"Alabama"	"01"	"2014"	"2014"	"Non-Hispanic Black"	"7"	253	18230	13.88
	"Alabama"	"01"	"2015"	"2015"	"Non-Hispanic White"	"6"	206	35826	5.75
	"Alabama"	"01"	"2015"	"2015"	"Non-Hispanic Black"	"7"	261	18261	14.29
	"Alabama"	"01"	"2016"	"2016"	"Non-Hispanic White"	"6"	234	35319	6.63
	"Alabama"	"01"	"2016"	"2016"	"Non-Hispanic Black"	"7"	261	17989	14.51
	"Alabama"	"01"	"2017"	"2017"	"Non-Hispanic White"	"6"	194	34784	5.58
	"Alabama"	"01"	"2017"	"2017"	"Non-Hispanic Black"	"7"	203	18354	11.06
	"Alabama"	"01"	"2018"	"2018"	"Non-Hispanic White"	"6"	184	34194	5.38
	"Alabama"	"01"	"2018"	"2018"	"Non-Hispanic Black"	"7"	188	17939	10.48
	"Alabama"	"01"	"2019"	"2019"	"Non-Hispanic White"	"6"	198	33892	5.84
	"Alabama"	"01"	"2019"	"2019"	"Non-Hispanic Black"	"7"	215	18620	11.55
	"Alaska"	"02"	"2007"	"2007"	"Non-Hispanic White"	"6"	29	6293	4.61
	"Alaska"	"02"	"2008"	"2008"	"Non-Hispanic White"	"6"	19	6505	2.92 (Unreliable)
	"Alaska"	"02"	"2009"	"2009"	"Non-Hispanic White"	"6"	29	6018	4.82
	"Alaska"	"02"	"2010"	"2010"	"Non-Hispanic White"	"6"	17	6264	2.71 (Unreliable)
	"Alaska"	"02"	"2011"	"2011"	"Non-Hispanic White"	"6"	16	6082	2.63 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"Non-Hispanic White"	"6"	25	5772	4.33
	"Alaska"	"02"	"2013"	"2013"	"Non-Hispanic White"	"6"	26	6622	3.93
	"Alaska"	"02"	"2014"	"2014"	"Non-Hispanic White"	"6"	28	6541	4.28
	"Alaska"	"02"	"2015"	"2015"	"Non-Hispanic White"	"6"	33	6543	5.04
	"Alaska"	"02"	"2016"	"2016"	"Non-Hispanic White"	"6"	22	6347	3.47
	"Alaska"	"02"	"2017"	"2017"	"Non-Hispanic White"	"6"	24	5746	4.18
	"Alaska"	"02"	"2018"	"2018"	"Non-Hispanic White"	"6"	26	5552	4.68
	"Alaska"	"02"	"2019"	"2019"	"Non-Hispanic White"	"6"	14	5299	2.64 (Unreliable)
	"Arizona"	"04"	"2007"	"2007"	"Non-Hispanic White"	"6"	280	42518	6.59
	"Arizona"	"04"	"2007"	"2007"	"Non-Hispanic Black"	"7"	50	3913	12.78
	"Arizona"	"04"	"2008"	"2008"	"Non-Hispanic White"	"6"	252	42202	5.97
	"Arizona"	"04"	"2008"	"2008"	"Non-Hispanic Black"	"7"	65	4052	16.04
	"Arizona"	"04"	"2009"	"2009"	"Non-Hispanic White"	"6"	212	40037	5.30
	"Arizona"	"04"	"2009"	"2009"	"Non-Hispanic Black"	"7"	59	4135	14.27
	"Arizona"	"04"	"2010"	"2010"	"Non-Hispanic White"	"6"	193	39211	4.92
	"Arizona"	"04"	"2010"	"2010"	"Non-Hispanic Black"	"7"	41	4058	10.10
	"Arizona"	"04"	"2011"	"2011"	"Non-Hispanic White"	"6"	208	38988	5.33
	"Arizona"	"04"	"2011"	"2011"	"Non-Hispanic Black"	"7"	36	4083	8.82
	"Arizona"	"04"	"2012"	"2012"	"Non-Hispanic White"	"6"	167	38836	4.30
	"Arizona"	"04"	"2012"	"2012"	"Non-Hispanic Black"	"7"	53	4446	11.92
	"Arizona"	"04"	"2013"	"2013"	"Non-Hispanic White"	"6"	174	38360	4.54
	"Arizona"	"04"	"2013"	"2013"	"Non-Hispanic Black"	"7"	53	4437	11.95
	"Arizona"	"04"	"2014"	"2014"	"Non-Hispanic White"	"6"	213	38608	5.52
	"Arizona"	"04"	"2014"	"2014"	"Non-Hispanic Black"	"7"	48	4673	10.27
	"Arizona"	"04"	"2015"	"2015"	"Non-Hispanic White"	"6"	174	36976	4.71
	"Arizona"	"04"	"2015"	"2015"	"Non-Hispanic Black"	"7"	48	4582	10.48
	"Arizona"	"04"	"2016"	"2016"	"Non-Hispanic White"	"6"	157	36049	4.36
	"Arizona"	"04"	"2016"	"2016"	"Non-Hispanic Black"	"7"	42	4606	9.12
	"Arizona"	"04"	"2017"	"2017"	"Non-Hispanic White"	"6"	170	34480	4.93
	"Arizona"	"04"	"2017"	"2017"	"Non-Hispanic Black"	"7"	58	4775	12.15
	"Arizona"	"04"	"2018"	"2018"	"Non-Hispanic White"	"6"	164	33618	4.88
	"Arizona"	"04"	"2018"	"2018"	"Non-Hispanic Black"	"7"	41	4856	8.44
	"Arizona"	"04"	"2019"	"2019"	"Non-Hispanic White"	"6"	147	32818	4.48
	"Arizona"	"04"	"2019"	"2019"	"Non-Hispanic Black"	"7"	51	5139	9.92
	"Arkansas"	"05"	"2007"	"2007"	"Non-Hispanic White"	"6"	190	27736	6.85
	"Arkansas"	"05"	"2007"	"2007"	"Non-Hispanic Black"	"7"	106	8064	13.14
	"Arkansas"	"05"	"2008"	"2008"	"Non-Hispanic White"	"6"	173	27257	6.35
	"Arkansas"	"05"	"2008"	"2008"	"Non-Hispanic Black"	"7"	103	8029	12.83
	"Arkansas"	"05"	"2009"	"2009"	"Non-Hispanic White"	"6"	178	26973	6.60
	"Arkansas"	"05"	"2009"	"2009"	"Non-Hispanic Black"	"7"	90	7635	11.79
	"Arkansas"	"05"	"2010"	"2010"	"Non-Hispanic White"	"6"	172	26113	6.59
	"Arkansas"	"05"	"2010"	"2010"	"Non-Hispanic Black"	"7"	72	7354	9.79
	"Arkansas"	"05"	"2011"	"2011"	"Non-Hispanic White"	"6"	167	26408	6.32
	"Arkansas"	"05"	"2011"	"2011"	"Non-Hispanic Black"	"7"	91	7231	12.58
	"Arkansas"	"05"	"2012"	"2012"	"Non-Hispanic White"	"6"	173	25925	6.67
	"Arkansas"	"05"	"2012"	"2012"	"Non-Hispanic Black"	"7"	68	7300	9.32
	"Arkansas"	"05"	"2013"	"2013"	"Non-Hispanic White"	"6"	180	25287	7.12
	"Arkansas"	"05"	"2013"	"2013"	"Non-Hispanic Black"	"7"	78	7265	10.74
	"Arkansas"	"05"	"2014"	"2014"	"Non-Hispanic White"	"6"	179	25940	6.90
	"Arkansas"	"05"	"2014"	"2014"	"Non-Hispanic Black"	"7"	79	7254	10.89
	"Arkansas"	"05"	"2015"	"2015"	"Non-Hispanic White"	"6"	183	25714	7.12
	"Arkansas"	"05"	"2015"	"2015"	"Non-Hispanic Black"	"7"	87	7589	11.46
	"Arkansas"	"05"	"2016"	"2016"	"Non-Hispanic White"	"6"	189	25273	7.48
	"Arkansas"	"05"	"2016"	"2016"	"Non-Hispanic Black"	"7"	92	7296	12.61
	"Arkansas"	"05"	"2017"	"2017"	"Non-Hispanic White"	"6"	168	24439	6.87
	"Arkansas"	"05"	"2017"	"2017"	"Non-Hispanic Black"	"7"	92	7295	12.61
	"Arkansas"	"05"	"2018"	"2018"	"Non-Hispanic White"	"6"	153	23968	6.38
	"Arkansas"	"05"	"2018"	"2018"	"Non-Hispanic Black"	"7"	87	7171	12.13
	"Arkansas"	"05"	"2019"	"2019"	"Non-Hispanic White"	"6"	136	23443	5.80
	"Arkansas"	"05"	"2019"	"2019"	"Non-Hispanic Black"	"7"	81	7212	11.23
	"California"	"06"	"2007"	"2007"	"Non-Hispanic White"	"6"	731	155912	4.69
	"California"	"06"	"2007"	"2007"	"Non-Hispanic Black"	"7"	342	31783	10.76
	"California"	"06"	"2008"	"2008"	"Non-Hispanic White"	"6"	631	151407	4.17
	"California"	"06"	"2008"	"2008"	"Non-Hispanic Black"	"7"	339	31975	10.60
	"California"	"06"	"2009"	"2009"	"Non-Hispanic White"	"6"	594	146402	4.06
	"California"	"06"	"2009"	"2009"	"Non-Hispanic Black"	"7"	303	31090	9.75
	"California"	"06"	"2010"	"2010"	"Non-Hispanic White"	"6"	607	145931	4.16
	"California"	"06"	"2010"	"2010"	"Non-Hispanic Black"	"7"	271	30336	8.93
	"California"	"06"	"2011"	"2011"	"Non-Hispanic White"	"6"	577	144584	3.99
	"California"	"06"	"2011"	"2011"	"Non-Hispanic Black"	"7"	293	29902	9.80
	"California"	"06"	"2012"	"2012"	"Non-Hispanic White"	"6"	518	142697	3.63
	"California"	"06"	"2012"	"2012"	"Non-Hispanic Black"	"7"	254	29438	8.63
	"California"	"06"	"2013"	"2013"	"Non-Hispanic White"	"6"	592	143531	4.12
	"California"	"06"	"2013"	"2013"	"Non-Hispanic Black"	"7"	278	28931	9.61
	"California"	"06"	"2014"	"2014"	"Non-Hispanic White"	"6"	495	144318	3.43
	"California"	"06"	"2014"	"2014"	"Non-Hispanic Black"	"7"	288	28312	10.17
	"California"	"06"	"2015"	"2015"	"Non-Hispanic White"	"6"	523	141592	3.69
	"California"	"06"	"2015"	"2015"	"Non-Hispanic Black"	"7"	239	27035	8.84
	"California"	"06"	"2016"	"2016"	"Non-Hispanic White"	"6"	485	138319	3.51
	"California"	"06"	"2016"	"2016"	"Non-Hispanic Black"	"7"	222	26985	8.23
	"California"	"06"	"2017"	"2017"	"Non-Hispanic White"	"6"	410	133165	3.08
	"California"	"06"	"2017"	"2017"	"Non-Hispanic Black"	"7"	221	26440	8.36
	"California"	"06"	"2018"	"2018"	"Non-Hispanic White"	"6"	393	128477	3.06
	"California"	"06"	"2018"	"2018"	"Non-Hispanic Black"	"7"	210	25370	8.28
	"California"	"06"	"2019"	"2019"	"Non-Hispanic White"	"6"	443	125951	3.52
	"California"	"06"	"2019"	"2019"	"Non-Hispanic Black"	"7"	202	25417	7.95
	"Colorado"	"08"	"2007"	"2007"	"Non-Hispanic White"	"6"	213	41843	5.09
	"Colorado"	"08"	"2007"	"2007"	"Non-Hispanic Black"	"7"	44	3121	14.10
	"Colorado"	"08"	"2008"	"2008"	"Non-Hispanic White"	"6"	208	41489	5.01
	"Colorado"	"08"	"2008"	"2008"	"Non-Hispanic Black"	"7"	33	3140	10.51
	"Colorado"	"08"	"2009"	"2009"	"Non-Hispanic White"	"6"	220	41169	5.34
	"Colorado"	"08"	"2009"	"2009"	"Non-Hispanic Black"	"7"	44	3120	14.10
	"Colorado"	"08"	"2010"	"2010"	"Non-Hispanic White"	"6"	218	40164	5.43
	"Colorado"	"08"	"2010"	"2010"	"Non-Hispanic Black"	"7"	43	3201	13.43
	"Colorado"	"08"	"2011"	"2011"	"Non-Hispanic White"	"6"	185	40439	4.57
	"Colorado"	"08"	"2011"	"2011"	"Non-Hispanic Black"	"7"	26	3054	8.51
	"Colorado"	"08"	"2012"	"2012"	"Non-Hispanic White"	"6"	150	39997	3.75
	"Colorado"	"08"	"2012"	"2012"	"Non-Hispanic Black"	"7"	36	3122	11.53
	"Colorado"	"08"	"2013"	"2013"	"Non-Hispanic White"	"6"	167	39872	4.19
	"Colorado"	"08"	"2013"	"2013"	"Non-Hispanic Black"	"7"	28	3224	8.68
	"Colorado"	"08"	"2014"	"2014"	"Non-Hispanic White"	"6"	179	40629	4.41
	"Colorado"	"08"	"2014"	"2014"	"Non-Hispanic Black"	"7"	33	3355	9.84
	"Colorado"	"08"	"2015"	"2015"	"Non-Hispanic White"	"6"	155	40878	3.79
	"Colorado"	"08"	"2015"	"2015"	"Non-Hispanic Black"	"7"	28	3453	8.11
	"Colorado"	"08"	"2016"	"2016"	"Non-Hispanic White"	"6"	162	40346	4.02
	"Colorado"	"08"	"2016"	"2016"	"Non-Hispanic Black"	"7"	40	3415	11.71
	"Colorado"	"08"	"2017"	"2017"	"Non-Hispanic White"	"6"	157	38233	4.11
	"Colorado"	"08"	"2017"	"2017"	"Non-Hispanic Black"	"7"	22	3560	6.18
	"Colorado"	"08"	"2018"	"2018"	"Non-Hispanic White"	"6"	154	37236	4.14
	"Colorado"	"08"	"2018"	"2018"	"Non-Hispanic Black"	"7"	21	3487	6.02
	"Colorado"	"08"	"2019"	"2019"	"Non-Hispanic White"	"6"	131	36745	3.57
	"Colorado"	"08"	"2019"	"2019"	"Non-Hispanic Black"	"7"	34	3524	9.65
	"Connecticut"	"09"	"2007"	"2007"	"Non-Hispanic White"	"6"	139	24915	5.58
	"Connecticut"	"09"	"2007"	"2007"	"Non-Hispanic Black"	"7"	67	5171	12.96
	"Connecticut"	"09"	"2008"	"2008"	"Non-Hispanic White"	"6"	102	23955	4.26
	"Connecticut"	"09"	"2008"	"2008"	"Non-Hispanic Black"	"7"	66	5142	12.84
	"Connecticut"	"09"	"2009"	"2009"	"Non-Hispanic White"	"6"	87	22800	3.82
	"Connecticut"	"09"	"2009"	"2009"	"Non-Hispanic Black"	"7"	59	4970	11.87
	"Connecticut"	"09"	"2010"	"2010"	"Non-Hispanic White"	"6"	85	22021	3.86
	"Connecticut"	"09"	"2010"	"2010"	"Non-Hispanic Black"	"7"	49	4742	10.33
	"Connecticut"	"09"	"2011"	"2011"	"Non-Hispanic White"	"6"	78	21538	3.62
	"Connecticut"	"09"	"2011"	"2011"	"Non-Hispanic Black"	"7"	46	4776	9.63
	"Connecticut"	"09"	"2012"	"2012"	"Non-Hispanic White"	"6"	78	21261	3.67
	"Connecticut"	"09"	"2012"	"2012"	"Non-Hispanic Black"	"7"	55	4716	11.66
