"Notes","State","State Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Alabama","01","1995","1995",590,60329,9.78
,"Alabama","01","1996","1996",629,60488,10.40
,"Alabama","01","1997","1997",576,60914,9.46
,"Alabama","01","1998","1998",627,62074,10.10
"Total","Alabama","01",,,2422,243805,9.93
,"Alaska","02","1995","1995",77,10244,7.52
,"Alaska","02","1996","1996",72,10037,7.17
,"Alaska","02","1997","1997",76,9947,7.64
,"Alaska","02","1998","1998",59,9926,5.94
"Total","Alaska","02",,,284,40154,7.07
,"Arizona","04","1995","1995",552,72463,7.62
,"Arizona","04","1996","1996",577,75322,7.66
,"Arizona","04","1997","1997",534,75699,7.05
,"Arizona","04","1998","1998",588,78243,7.52
"Total","Arizona","04",,,2252,301727,7.46
,"Arkansas","05","1995","1995",304,35175,8.64
,"Arkansas","05","1996","1996",348,36371,9.57
,"Arkansas","05","1997","1997",314,36478,8.61
,"Arkansas","05","1998","1998",329,36865,8.92
"Total","Arkansas","05",,,1295,144889,8.94
,"California","06","1995","1995",3479,552045,6.30
,"California","06","1996","1996",3190,539433,5.91
,"California","06","1997","1997",3102,524840,5.91
,"California","06","1998","1998",2994,521661,5.74
"Total","California","06",,,12765,2137979,5.97
,"Colorado","08","1995","1995",348,54332,6.41
,"Colorado","08","1996","1996",372,55807,6.67
,"Colorado","08","1997","1997",398,56533,7.04
,"Colorado","08","1998","1998",402,59577,6.75
"Total","Colorado","08",,,1520,226249,6.72
,"Connecticut","09","1995","1995",316,44334,7.13
,"Connecticut","09","1996","1996",284,44469,6.39
,"Connecticut","09","1997","1997",308,43109,7.14
,"Connecticut","09","1998","1998",306,43820,6.98
"Total","Connecticut","09",,,1215,175732,6.91
,"Delaware","10","1995","1995",76,10266,7.40
,"Delaware","10","1996","1996",78,10155,7.68
,"Delaware","10","1997","1997",81,10253,7.90
,"Delaware","10","1998","1998",100,10578,9.45
"Total","Delaware","10",,,335,41252,8.12
,"District of Columbia","11","1995","1995",143,9014,15.86
,"District of Columbia","11","1996","1996",126,8390,15.02
,"District of Columbia","11","1997","1997",109,7927,13.75
,"District of Columbia","11","1998","1998",96,7686,12.49
"Total","District of Columbia","11",,,475,33017,14.39
,"Florida","12","1995","1995",1423,188723,7.54
,"Florida","12","1996","1996",1419,189392,7.49
,"Florida","12","1997","1997",1368,192383,7.11
,"Florida","12","1998","1998",1423,195637,7.27
"Total","Florida","12",,,5634,766135,7.35
,"Georgia","13","1995","1995",1072,112282,9.55
,"Georgia","13","1996","1996",1059,114043,9.29
,"Georgia","13","1997","1997",1009,118221,8.53
,"Georgia","13","1998","1998",1027,122368,8.39
"Total","Georgia","13",,,4168,466914,8.93
,"Hawaii","15","1995","1995",105,18595,5.65
,"Hawaii","15","1996","1996",108,18401,5.87
,"Hawaii","15","1997","1997",116,17393,6.67
,"Hawaii","15","1998","1998",121,17583,6.88
"Total","Hawaii","15",,,450,71972,6.25
,"Idaho","16","1995","1995",111,18035,6.15
,"Idaho","16","1996","1996",134,18625,7.19
,"Idaho","16","1997","1997",122,18582,6.57
,"Idaho","16","1998","1998",139,19391,7.17
"Total","Idaho","16",,,506,74633,6.78
,"Illinois","17","1995","1995",1740,185812,9.36
,"Illinois","17","1996","1996",1581,183180,8.63
,"Illinois","17","1997","1997",1523,180803,8.42
,"Illinois","17","1998","1998",1538,182588,8.42
"Total","Illinois","17",,,6382,732383,8.71
,"Indiana","18","1995","1995",695,82835,8.39
,"Indiana","18","1996","1996",726,83513,8.69
,"Indiana","18","1997","1997",676,83436,8.10
,"Indiana","18","1998","1998",643,85122,7.55
"Total","Indiana","18",,,2741,334906,8.18
,"Iowa","19","1995","1995",304,36810,8.26
,"Iowa","19","1996","1996",260,37139,7.00
,"Iowa","19","1997","1997",224,36659,6.11
,"Iowa","19","1998","1998",242,37282,6.49
"Total","Iowa","19",,,1030,147890,6.96
,"Kansas","20","1995","1995",256,37201,6.88
,"Kansas","20","1996","1996",301,36651,8.21
,"Kansas","20","1997","1997",277,37289,7.43
,"Kansas","20","1998","1998",271,38422,7.05
"Total","Kansas","20",,,1105,149563,7.39
,"Kentucky","21","1995","1995",395,52377,7.54
,"Kentucky","21","1996","1996",389,52706,7.38
,"Kentucky","21","1997","1997",378,53203,7.10
,"Kentucky","21","1998","1998",410,54329,7.55
"Total","Kentucky","21",,,1571,212615,7.39
,"Louisiana","22","1995","1995",647,65641,9.86
,"Louisiana","22","1996","1996",586,65204,8.99
,"Louisiana","22","1997","1997",624,66025,9.45
,"Louisiana","22","1998","1998",609,66888,9.10
"Total","Louisiana","22",,,2467,263758,9.35
,"Maine","23","1995","1995",89,13896,6.40
,"Maine","23","1996","1996",60,13774,4.36
,"Maine","23","1997","1997",68,13669,4.97
,"Maine","23","1998","1998",90,13733,6.55
"Total","Maine","23",,,307,55072,5.57
,"Maryland","24","1995","1995",642,72396,8.87
,"Maryland","24","1996","1996",602,71533,8.42
,"Maryland","24","1997","1997",614,70215,8.74
,"Maryland","24","1998","1998",616,71972,8.56
"Total","Maryland","24",,,2473,286116,8.64
,"Massachusetts","25","1995","1995",423,81648,5.18
,"Massachusetts","25","1996","1996",403,80276,5.02
,"Massachusetts","25","1997","1997",417,80364,5.19
,"Massachusetts","25","1998","1998",423,81411,5.20
"Total","Massachusetts","25",,,1666,323699,5.15
